Beta_Carot,Calcium_(mg),Carbohydrt_(g),Energ_Kcal,Fiber_TD_(g),Iron_(mg),Lipid_Tot_(g),Magnesium_(mg),Manganese_(mg),Protein_(g),Sodium_(mg),Vit_A_RAE,Vit_B12,Vit_B6_(mg),Vit_C_(mg),Vit_D,Vit_E_(mg),Water_(g)
7.60E-05,6.79E-04,0.007802,0.007761,0,0.001002,8.00E-04,0.004219,2.00E-04,0.010164,0.034186,0,6.02E-04,0.001865,5.30E-05,0,2.43E-04,0.948448
0,0.001358,0,0.39357,0,0.026169,0.2851,0.028129,2.33E-04,0.268808,0.001651,0,0.070376,0.03899,0,0.017794,0.005599,0.477778
0,0.002309,0,0.207317,0,0.022383,0.0672,0.035162,1.83E-04,0.344743,0.001574,0,0.049323,0.092897,0,0.003559,0.009494,0.633333
0,8.15E-04,4.00E-04,0.019956,0,3.34E-04,0,0.001406,9.15E-04,0,5.20E-05,0,0,0,0,0,0,0.948749
1.91E-04,0.016431,0.046609,0.067627,0,5.57E-04,0.0325,0.016878,6.70E-05,0.040537,0.001187,0.002515,0.011128,0.005425,2.63E-04,0.003559,0.001461,0.87988
0,0.002173,0.055411,0.254989,0.041431,0.018263,0.2384,0.052039,0.015234,0.026752,3.87E-04,0,0,0.005594,0.001474,0,0.003651,0.676877
1.15E-04,9.51E-04,0.69964,0.2949,0.018832,0.002116,2.00E-04,0.008439,0.002195,0.001752,7.74E-04,0,0,0.00339,4.74E-04,0,0,0.297998
0,4.07E-04,0.813163,0.35255,0.001883,0.002561,0.002,0.002813,1.33E-04,0.021028,0.002064,0,0,5.09E-04,0,0,0,0.164164
0,0.010456,0.810162,0.468958,0.013183,0.015145,0.095,0.012658,0.004624,0.045561,0.017158,0,0.001203,0.003051,0,0,0.001947,0.035035
0,0.002309,0,0.227273,0,0.032183,0.0635,0.032349,2.00E-04,0.404206,0.001471,0,0.070075,0.054416,0,0.003559,0.010467,0.593493
0,0.001222,0.026005,0.090909,0,0.003007,0,0.014065,0.001946,8.18E-04,1.29E-04,0,0,0.008476,0,0,0,0.869469
0,0,0.492098,0.044346,0.056497,0,0,0,0,0.009346,5.42E-04,0,0,0,0,0,0,0.500501
0,8.15E-04,0,0.208426,0,0.024276,0.0821,0.02391,1.50E-04,0.312967,9.03E-04,0,0.044812,0.059671,0,0.007117,0.00925,0.647347
0,0.003395,0,0.18847,0,0.019822,0.0497,0.036568,3.49E-04,0.342523,0.001806,0,0.011128,0.077979,0,0.007117,0.008033,0.649449
0,0.004345,0,0.250554,0,0.012249,0.0915,0.037975,6.32E-04,0.392173,0.002167,0,0.039699,0.047466,0,0,0.010224,0.57017
0,0.003802,0,0.165188,0,0.01804,0.0629,0.032349,2.33E-04,0.253738,0.001471,0,0.035489,0.101034,0,0.003559,0.007546,0.687888
0,0.003259,0.075915,0.296009,0.009416,0.011024,0.1692,0.030942,0.002162,0.246846,0.015248,0.002049,0.017744,0.038481,0,0.003559,0.008033,0.51972
0.00172,0.002173,0.036307,0.01663,0.009416,0.003118,0.0011,0.018284,0.001314,0.007593,5.20E-05,4.66E-04,0,0.006781,0.001474,0,7.30E-04,0.953253
0,0.001222,0,0.322616,0,0.029844,0.1971,0.032349,2.49E-04,0.308645,0.001625,0,0.074286,0.057637,0,0.010676,0.004382,0.528228
1.15E-04,0.023357,0.697139,0.504435,0.035782,0.039866,0.158,0.030942,0.009181,0.088785,0.015274,0.00149,0.002406,0.006272,1.05E-04,0,0.029698,0.047047
0.003478,0.001358,0.145129,0.063193,0.011299,0.003786,0.0015,0.004219,2.16E-04,0.001986,1.29E-04,0.001676,0,0.001526,0.001579,0,0.005842,0.851051
9.94E-04,6.79E-04,0.228446,0.09867,0.048964,0.002895,0.0033,0.037975,0.00449,0.012734,2.60E-05,2.79E-04,0,0.062214,0.004579,0,0.002434,0.74985
2.68E-04,0.013308,0.130026,0.101996,0.011299,0.046548,0.0308,0.021097,0.001064,0.035631,9.80E-04,0.002049,0.008722,0.006103,0.001895,0,0.002191,0.802903
0,0.003259,0,0.150776,0,0.006793,0.048,0.035162,1.50E-04,0.254556,0.001548,0,0.015038,0.124597,0,0.017794,0.003165,0.724725
0.002255,0.001901,0.171534,0.074279,0.016949,0.003229,0.0035,0.007032,0.011941,0.00736,5.20E-05,4.66E-04,0,0.018647,0.002105,0,0.004625,0.813814
0,0.003259,0,0.241685,0,0.016147,0.0781,0.036568,6.65E-04,0.402336,0.002554,0,0.046015,0.057637,0,0,0.00852,0.561361
0,6.79E-04,0.935187,0.420177,0.011299,8.91E-04,0.004,0,1.33E-04,0.003505,0.016384,0,0,0,0,0,0,0.039039
3.80E-05,0.008691,0.709142,0.385809,0.086629,0.032294,0.073,0.037975,0.005705,0.043224,0.00903,8.38E-04,0.002707,0.012714,1.58E-04,0,0.015823,0.165165
0,0.001358,0,0.288248,0,0.019265,0.2096,0.025316,0.001064,0.209346,0.001471,4.66E-04,0.052331,0.0673,0,0.007117,0.003651,0.604104
0,0.003531,0,0.206208,0,0.007572,0.0836,0.035162,1.16E-04,0.301285,0.001471,0,0.015639,0.114426,0,0.02847,0.002434,0.652052
0,4.07E-04,0.980196,0.436807,0,0.003341,0.002,0.004219,1.66E-04,0,9.80E-04,0,0,5.09E-04,0,0,0,0.013013
0,0.001086,0.038708,0.036585,0.009416,0.003786,0.0107,0.002813,0.002495,0.023715,0.010707,0,0.003308,0.005086,2.11E-04,0,7.30E-04,0.919319
7.60E-05,0.003395,0.062813,0.059867,0.011299,0.007127,0.0175,0.035162,0.003709,0.038201,0.001316,0,0,0.013053,0,0,0.002678,0.881381
0,4.07E-04,0.141928,0.068736,0,2.23E-04,0,0.001406,3.30E-05,0.014252,0.001935,0,0,0,0,0,0,0.844745
0,0.01969,0,0.110865,0,0.023719,0.0136,0.046414,0.006586,0.238551,0.020047,0,0.022256,0.001695,0.002158,0,0.026777,0.759259
0,0.018876,0.55051,0.305987,0.056497,0.054566,0.0221,0.039381,0.011975,0.103621,0.009521,0,0,0.01051,7.37E-04,0,0.008763,0.321021
0,5.43E-04,0.123025,0.055432,0.047081,0.009688,6.00E-04,0.007032,0.002678,0.01028,2.06E-04,0,0,0.026954,6.84E-04,0,0.012171,0.865065
0,0.001901,0,0.146341,0,0.013363,0.0571,0.030942,2.16E-04,0.218808,0.001677,0,0.027368,0.08832,0,0.021352,0.005842,0.743844
0,0.004889,0.729146,0.508869,0.037665,0.008797,0.189,0.067511,0.008149,0.063084,0.005934,0,0.001203,0.011697,0,0,0.04187,0.012312
3.80E-05,0.002988,0.066813,0.050998,0.013183,0.006125,0.0142,0.002813,0.003326,0.035748,0.018886,2.79E-04,0,0.006781,5.26E-04,0,0.005355,0.864364
0,0.001901,0,0.21286,0,0.015145,0.0898,0.028129,3.33E-04,0.303388,0.001909,0.001956,0.006617,0.035599,0,0.003559,0.006573,0.658959
1.15E-04,0.003123,0.076015,0.120843,0.003766,0.007795,0.073,0.009845,0.001663,0.040888,0.017055,8.38E-04,0.001504,0.006781,0,0,0.015579,0.804805
0,0.003531,0,0.18071,0,0.019822,0.0344,0.030942,4.49E-04,0.360397,0.002012,0,0.012331,0.100017,0,0.007117,0.002191,0.656657
0,0.004345,0.0013,0.230599,0,0.025612,0.0982,0.032349,3.83E-04,0.325584,0.001987,0,0.010827,0.055942,0,0.003559,0.015093,0.612513
0,8.15E-04,0,0.191796,0,0.007127,0.0628,0.036568,1.16E-04,0.318107,0.001213,0,0.016541,0.120868,0,0.014235,0.002434,0.656657
0,0.00163,0,0.207317,0,0.010468,0.1073,0.029536,2.99E-04,0.265421,0.002864,0.001118,0.012331,0.058824,0,0.003559,0.004138,0.663964
7.60E-05,0.023221,0.138028,0.094235,0,7.80E-04,0.0125,0.022504,6.70E-05,0.057593,0.001703,0.001118,0.01594,0.007628,4.21E-04,0,4.87E-04,0.790791
3.80E-05,0.001086,0.026105,0.094235,0,0.005122,0,0.016878,0.002195,8.18E-04,1.03E-04,0,0,0.009663,0,0,0,0.865766
0.001949,0.002037,0.033007,0.017738,0.035782,0.003675,0.0017,0.026723,0.002129,0.012033,0.006115,3.73E-04,0,0.014409,0.005684,0,0.002921,0.950951
0,0.001086,0.002501,0.242794,0,0.007461,0.1661,0.026723,2.66E-04,0.18972,0.001987,0.002142,0.019248,0.058145,0,0.003559,0.005112,0.666767
0,0,0.967193,0.399113,0.045198,0,0.003,0,0,0,2.60E-05,0,0,0,0,0,0,0.026026
0,0.001086,0.020404,0.13969,0.003766,0.026058,0.0484,0.030942,3.33E-04,0.204439,0.028742,6.52E-04,0.006917,0.03543,0.004684,0.003559,0.015579,0.71992
0,8.15E-04,0.052911,0.031042,0.041431,0.019376,0.0047,0.016878,0.001913,0.02535,5.20E-05,0,0,0.016104,0.002105,0.007117,2.43E-04,0.911712
3.06E-04,0.002852,0.119524,0.058758,0.161959,0.006793,0.0034,0.059072,0.003742,0.033762,0.001548,9.30E-05,0,0.013731,0.003895,0,0.004625,0.841642
7.26E-04,0.007197,0.183437,0.116408,0.120527,0.019488,0.0055,0.088608,0.006852,0.088084,1.81E-04,1.86E-04,0,0.009832,5.26E-04,0,0.003651,0.725826
0,0.009777,0.569114,0.329268,0.088512,0.035078,0.048,0.039381,0.009064,0.100467,0.01094,0,0,0.011527,2.11E-04,0,0.007546,0.278278
0,8.15E-04,0.021004,0.370288,0,0.008018,0.303,0.014065,3.99E-04,0.146028,0.033258,0,0.027068,0.035599,5.26E-04,0.017794,0.006329,0.515516
0.001223,8.15E-04,0.144929,0.063193,0.045198,0.003118,0.0033,0.008439,0.005588,0.008645,2.60E-05,2.79E-04,0,0.008815,0.005105,0,0.013875,0.842943
0,4.07E-04,0.0015,0.001109,0,2.23E-04,0,0,0,0.001402,1.03E-04,0,0,0,0,0,0,0.998398
0,0.002173,0.177736,0.088692,0.037665,0.006682,0.0075,0.060478,0.003809,0.021262,3.35E-04,0,0,0.027123,0.002632,0,0.006329,0.78969
0,0.003259,0,0.217295,0,0.012918,0.0658,0.039381,6.32E-04,0.372664,0.002296,0,0.049624,0.055942,0,0,0.010224,0.602202
1.15E-04,0.013036,0.090018,0.06541,0,0,0.014,0.022504,3.30E-05,0.030374,0.00258,0.001118,0.015639,0.01051,3.68E-04,0,9.74E-04,0.860861
0,8.15E-04,0.824165,0.337029,0.003766,0.004677,0,0.002813,0.001331,0.003505,1.03E-04,0,0,0.004068,2.63E-04,0,0,0.171171
0,0.002716,0,0.269401,0,0.019265,0.1423,0.030942,1.50E-04,0.314953,0.001445,0,0.04782,0.095609,0,0.007117,0.010711,0.584184
2.29E-04,0.002037,0.211542,0.103104,0.041431,0.012027,0.0013,0.039381,0.003642,0.029206,2.58E-04,9.30E-05,0,0.052721,0.005053,0,9.74E-04,0.74965
2.29E-04,0.013036,0.635127,0.515521,0.094162,0.031403,0.183,0.059072,0.008549,0.126168,0.028097,6.52E-04,0.004211,0.01407,0,0,0.009737,0.036036
3.80E-05,2.72E-04,0.217143,0.107539,0.050847,0.006125,0.0141,0.043601,0.003559,0.039019,7.70E-05,0,0,0.021529,0.003263,0,0.002191,0.729129
0.00344,0.003802,0.133327,0.078714,0.067797,0.017929,0.0029,0.04782,0.011642,0.047547,1.03E-04,7.45E-04,0,0.01051,0.004579,0,0.007059,0.812513
0,0.003259,0,0.231707,0,0.008797,0.1106,0.035162,1.50E-04,0.299182,0.001419,1.86E-04,0.017744,0.113409,0,0.02847,0.002678,0.623323
0,0.00163,0.840168,0.419069,0.030132,0.016036,0.027,0.009845,0.00316,0.049065,0.00707,9.30E-05,3.01E-04,0.002204,0,0,7.30E-04,0.08008
0,5.43E-04,0.532206,0.395787,0.003766,0.001448,0.1631,0.02391,0.013555,0.013668,9.29E-04,0,0,0.004916,0,0,0.003165,0.28999
3.80E-05,0.001358,0.185837,0.092018,0.084746,0.01069,0.0024,0.045007,0.010129,0.035981,1.29E-04,0,0,0.01407,0,0,2.43E-04,0.778378
0,6.79E-04,0.696139,0.293792,0,7.80E-04,0.001,0.002813,0.003077,0,0.001574,0,0,0,0,0,0,0.301301
0,9.51E-04,0.308662,0.175166,0.033898,0.014254,0.0093,0.025316,0.005355,0.067757,2.60E-05,0,0,0.008306,0,0,0.001461,0.621922
0,0.002852,0,0.213969,0,0.020379,0.0768,0.033755,1.66E-04,0.337266,0.001522,0,0.051128,0.10239,0,0.007117,0.009494,0.633934
0,4.07E-04,0.114023,0.05765,0.001883,0.002227,0.001,0.004219,0.002395,0.010514,2.60E-05,0,0,0.004577,0,0,4.87E-04,0.875876
0,4.07E-04,0,0,0,0,0,0.001406,0,0,1.03E-04,0,0,0,0,0,0,1
0,5.43E-04,0.035907,0.015521,0,1.11E-04,4.00E-04,0.014065,1.70E-05,0,1.55E-04,0,0,1.70E-04,7.89E-04,0,2.43E-04,0.963564
0,0.002309,0,0.334812,0,0.028174,0.1922,0.028129,1.66E-04,0.351869,0.00129,0,0.066767,0.050008,0,0.010676,0.012902,0.505005
7.60E-05,0.003395,0.30006,0.400222,0.015066,0.020379,0.245,0.028129,0.003742,0.074766,0.007973,0.001024,0.004211,0.011527,0,0,0.007059,0.382382
0,0.00258,0,0.322616,0,0.018486,0.2004,0.030942,1.50E-04,0.301986,0.001367,0,0.045714,0.09171,0,0.010676,0.011928,0.537037
0,0.001086,0.027205,0.092018,0,0.00412,0,0.015471,0.002062,8.18E-04,1.29E-04,0,0,0.009154,0,0,0,0.866667
0,0.001358,0.187037,0.092018,0.07533,0.003341,0.0117,0.016878,0.001979,0.019509,7.70E-05,0,0,0.012714,0.005368,0,0.014606,0.78008
0,1.36E-04,0.14763,0.078714,0.015066,0.006347,0.0046,0.009845,6.15E-04,0.019977,0.005754,0,0,0.007798,0,0,7.30E-04,0.83013
0,0.00163,0.879176,0.419069,0.067797,0.014365,0.019,0.063291,0.006104,0.026869,0.03687,0,0,0.002034,0,0,0.001704,0.032032
1.53E-04,0.015073,0.018004,0.067627,0.003766,0.012361,0.0369,0.037975,0.00647,0.076519,2.06E-04,0,0,0.008815,1.05E-04,0,2.43E-04,0.873473
7.60E-05,0.001086,0.20014,0.095344,0.037665,0.003452,0.001,0.028129,0.002328,0.019977,0.006218,0,0,0.045601,0.003895,0,2.43E-04,0.775375
0,0.00258,0,0.240576,0,0.009688,0.1232,0.035162,4.82E-04,0.28972,0.0024,0,0.037293,0.057637,0,0,0.010711,0.607908
0,0.001222,0.013903,0.13969,0,0.009131,0.0548,0.026723,3.66E-04,0.207593,0.030471,0.001211,0.01203,0.066113,0,0.024911,0.005112,0.717918
0,8.15E-04,0.04811,0.058758,0.007533,0.007795,0.0236,0.002813,0.003326,0.043808,0.014449,9.30E-05,0.003008,0.001695,0,0,4.87E-04,0.875676
0,0,0.030006,0.012195,0,5.57E-04,0,0.001406,0,0,9.03E-04,0,0,0,0.003316,0,0,0.968969
0,0.014394,0.512202,0.333703,0.043315,0.036971,0.067,0.028129,0.008216,0.093458,0.0177,0,0,0.008476,0,0,0.004625,0.316116
0,0.001086,0.012002,0.134146,0,0.009465,0.0538,0.026723,3.66E-04,0.199299,0.029052,0.001211,0.013835,0.068995,0,0.021352,0.005599,0.729229
0,0.001765,0,0.167406,0,0.0098,0.0303,0.033755,2.99E-04,0.338551,0.001625,5.59E-04,0.006917,0.055942,0,0.003559,0.006573,0.683383
0,6.79E-04,0,0.146341,0,0.006013,0.0406,0.036568,1.16E-04,0.261565,0.001264,0,0.015338,0.127988,0,0.014235,0.003165,0.733534
0.003134,0.003938,0.05111,0.045455,0.001883,0.001114,0.0204,0.002813,0.004989,0.007944,0.011714,7.45E-04,0.003008,0.00339,1.05E-04,0,0.005599,0.91031
0,0.001901,0.65113,0.309313,0.048964,0.023497,0.0113,0.091421,0.006353,0.024533,0.001858,0,0,0.001017,1.05E-04,0,4.87E-04,0.31031
0,0.002037,0,0.227273,0,0.014811,0.0973,0.032349,3.49E-04,0.319743,0.0024,0.002049,0.009624,0.061027,0,0.003559,0.006573,0.631231
0,0.001765,0,0.338137,0,0.031514,0.2192,0.030942,3.83E-04,0.293925,0.001806,0.001956,0.012331,0.062722,0,0.003559,0.042356,0.52002
0,0.004481,0,0.199557,0,0.014699,0.1254,0.026723,1.50E-04,0.19743,0.001393,0.002794,0.039098,0.082217,0,0.014235,0.001947,0.698098
0,0.001494,0.131326,0.059867,0.001883,0.001114,0.0029,0.009845,0.00158,0.001752,2.32E-04,0,0,0.006781,5.30E-05,0,0.00925,0.86036
0,0.002309,0.016903,0.242794,0.001883,0.015033,0.0912,0.037975,4.66E-04,0.357126,0.002348,0.001676,0.010226,0.08137,0,0.003559,0.011198,0.575876
0,0.002444,0,0.138581,0,0.020713,0.0332,0.032349,2.00E-04,0.260047,0.001987,0,0.053233,0.094253,0,0,0.006816,0.741942
0,0.00258,0,0.18847,0,0.007016,0.0903,0.035162,1.16E-04,0.241939,0.001419,1.86E-04,0.01594,0.118156,0,0.017794,0.002921,0.697698
0,0.001358,0,0.282705,0,0.019376,0.2031,0.025316,0.001064,0.211799,0.001445,4.66E-04,0.052331,0.070012,0,0.007117,0.003651,0.608609
3.80E-05,0.007876,0.665133,0.536585,0.05838,0.039866,0.232,0.081575,0.012074,0.067757,0.006631,4.66E-04,0,0.012544,0,0,0.006573,0.026026
3.82E-04,8.15E-04,0.664133,0.280488,0.007533,0.001336,0.001,0.008439,0.001164,0.001168,0.001084,9.30E-05,0,0.004747,0.001632,0,2.43E-04,0.33033
0.00107,0.00774,0.695139,0.463415,0.122411,0.02784,0.122,0.033755,0.005239,0.081776,0.02108,0.00177,0.002707,0.021699,5.30E-05,0,0.003895,0.078078
0,5.43E-04,0.035507,0.047672,0,2.23E-04,0,0.008439,1.33E-04,0.005374,1.03E-04,0,6.02E-04,0.007798,0,0,0,0.920521
0,0.020098,0.777155,0.48337,0.033898,0.021158,0.12,0.026723,0.006836,0.056075,0.015377,6.52E-04,0,0.007459,1.05E-04,0,0.002921,0.033033
0,0.003802,0.228046,0.140798,0.13936,0.032739,0.005,0.063291,0.007933,0.101285,5.20E-05,0,0,0.020342,6.32E-04,0,7.30E-04,0.67007
2.29E-04,5.43E-04,0.904181,0.433481,0,1.11E-04,0.033,0,1.70E-05,3.50E-04,0.010088,0.002608,0,0,0,0,0.002191,0.052553
0,2.72E-04,0.105821,0.045455,0,2.23E-04,0,0,0,0,1.03E-04,0,0,0,0,0,0,0.897097
0,0.016431,0.85117,0.413525,0.00565,0.003563,0.004,0.015471,0.002362,0.103972,0.012591,0,0.001504,0.001526,0,0,2.43E-04,0.028028
0,0.004617,0.109322,0.353659,0.011299,0.010022,0.2106,0.030942,0.002678,0.249299,0.018087,0.002422,0.012331,0.054246,0,0.003559,0.008033,0.439139
0,0.00163,0,0.131929,0,0.009911,0.0308,0.035162,3.16E-04,0.249883,0.001987,0.00149,0.011128,0.072894,0.001211,0.003559,0.005112,0.755355
4.20E-04,6.79E-04,0.20204,0.096452,0.018832,0.002116,0.001,0.005626,0.002744,0.014019,1.03E-04,9.30E-05,0,0.004238,0.005,0,0,0.783784
1.53E-04,0.009913,0.483097,0.286031,0.109228,0.031514,0.033,0.056259,0.013704,0.099299,0.017029,0,0,0.012714,2.11E-04,0,0.008033,0.373373
0,0.002037,0,0.254989,0,0.010468,0.1287,0.035162,1.50E-04,0.311215,0.001471,1.86E-04,0.019248,0.12714,0,0.024911,0.002678,0.593994
0,9.51E-04,0.003701,0.196231,0,0.016258,0.0888,0.032349,4.66E-04,0.27979,0.021312,9.30E-05,0.018346,0.075606,0,0.02847,0.008033,0.638839
3.44E-04,5.43E-04,0.138628,0.067627,0.032015,0.004009,0.0077,0.021097,0.001364,0.02278,3.10E-04,1.86E-04,0,0.006272,0.001368,0,7.30E-04,0.826927
0,6.79E-04,0.15173,0.063193,0.030132,0.003118,3.00E-04,0.005626,5.49E-04,0.00222,1.29E-04,0,0,0.002373,3.68E-04,0,0.001947,0.845445
0,0.00163,0.695339,0.308204,0.001883,0.002116,0.001,0.002813,0.008233,0,0.002683,0,0,0,0,0,0,0.301301
0.001529,0.003666,0.121924,0.055432,0.099812,0.009465,0.0026,0.022504,0.009097,0.01285,2.60E-05,2.79E-04,0,0.009493,0.001632,0,0.021178,0.85986
0,0.008963,0.523105,0.303769,0.080979,0.032294,0.044,0.036568,0.008332,0.09229,0.008076,0,0,0.011697,5.30E-05,0,0.006816,0.336336
0,8.15E-04,0,0.152993,0,0.008686,0.0248,0.049226,1.00E-04,0.338668,0.001522,7.45E-04,0.02015,0.153924,0,0.007117,0.002191,0.684685
3.80E-05,6.79E-04,0.157632,0.066519,0.011299,0.002895,1.00E-04,0.004219,4.99E-04,0.001285,1.03E-04,0,0,0.002373,5.79E-04,0,0.001217,0.840941
0,4.07E-04,0.989198,0.439024,0.001883,0.004454,0,0.001406,1.66E-04,0,0.001135,0,0,8.48E-04,0,0,0,0.01001
3.82E-04,0.00163,0.066913,0.023282,0.007533,0.002561,0.0023,0.009845,1.33E-04,0.002921,4.13E-04,9.30E-05,0,0.004577,0.003368,0,0.002921,0.926126
0,0.012629,0.766153,0.432373,0.118644,0.041203,0.032,0.082982,0.018794,0.141355,0.015429,0,0,0.016613,0,0,0.010467,0.051051
0,0.002309,0,0.325942,0,0.020935,0.2094,0.032349,3.66E-04,0.286449,0.001858,0,0.076692,0.022038,0,0.003559,0.003408,0.537738
0,2.72E-04,0.10142,0.044346,0,0.001225,2.00E-04,0.001406,3.30E-05,5.84E-04,2.32E-04,0,0,0,0,0,0,0.898699
0,0.002444,0,0.342572,0,0.023608,0.2359,0.032349,3.33E-04,0.263435,0.001651,0,0.066466,0.018647,0,0.003559,0.002678,0.525526
0,0.001086,0.232246,0.124169,0.026365,0.004232,0.0016,0.011252,0.001397,0.044276,1.29E-04,0,0,0.008646,0,0,0.003165,0.726426
1.15E-04,0.008284,0.027205,0.079823,0,0.001559,0.0102,0.007032,5.00E-05,0.144743,0.010475,0.001024,0.018947,0.011527,0,0,2.43E-04,0.825626
0,0.001901,0,0.196231,0,0.013029,0.0671,0.029536,3.16E-04,0.318808,0.001806,0.001397,0.006617,0.044075,0,0.003559,0.006573,0.668769
0,0.011271,0.981096,0.421286,0,0.007906,0,0.012658,0.001064,0.001402,7.22E-04,0,0,0.00695,0,0,0,0.013413
8.79E-04,0.002037,0.083017,0.035477,0.015066,0.004454,9.00E-04,0.025316,0.018644,0.005023,2.60E-05,1.86E-04,0,0.012544,0.004053,0,2.43E-04,0.909109
7.60E-05,0.009641,0.446089,0.446785,0.024482,0.021826,0.224,0.026723,0.006021,0.081776,0.009572,5.59E-04,0.003008,0.006442,5.30E-05,0,0.009494,0.243243
0,0.001494,0,0.233925,0,0.009911,0.1479,0.029536,2.33E-04,0.21285,0.001471,9.30E-05,0.02015,0.085438,1.58E-04,0.024911,0.002921,0.660561
0,0.004481,0.0016,0.27051,0,0.024388,0.1438,0.030942,3.83E-04,0.310631,0.001883,0,0.010226,0.050856,0,0,0.014362,0.57998
3.80E-05,9.51E-04,0.032907,0.046563,0,0.006013,0.0288,0.002813,6.65E-04,0.009229,0.008205,3.73E-04,0,0,0,0,0.009737,0.921321
0,0.003531,0.211842,0.276053,0.026365,0.011247,0.1325,0.039381,0.003526,0.128972,0.010862,0.002328,0.039098,0.008985,0,0.014235,0.027994,0.531331
0.002408,0.020505,0.582116,0.55765,0.045198,0.053118,0.253,0.050633,0.010461,0.117991,0.011817,0.001583,0.013835,0.093745,0,0,0.007303,0.031031
3.80E-05,0.010999,0.446489,0.241685,0.118644,0.013697,0.0285,0.101266,0.005422,0.066589,0.001161,0,0,0.037125,0,0,0.006816,0.459359
0,0.003938,0.14833,0.0898,0.099812,0.01392,0.0036,0.042194,0.00484,0.060981,0.006605,0,0,0.013562,4.21E-04,0,4.87E-04,0.78038
